รหัสสินค้า,ชื่อสินค้า,บาร์โค้ด,หน่วย,หมวดหมู่,ขั้นต่ำ
001-EPDL30-4W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL30/APR 4W Daylight,8859926424184,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL40-8W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL40/APR 8W Daylight,8859926424030,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL50-12W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL50/APR 12W Daylight,8859926424054,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL60-16W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL60/APR 16W Daylight,8859926424078,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL70-20W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL70/APR  20W Daylight,8859926424092,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL60F-16W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL60F/APR 16W Daylight,8859926424115,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL80F-24W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL80F/APR 24W Daylight,8859926424146,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-ERDL40S-8W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น ERDL40S/APR 8W Daylight,8859926424160,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL60S-16W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL60S/APR 16W Daylight,8859926424191,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL60SF-16W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL60SF/APR 16W Daylight,8859926424214,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL80SF-24W-D,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL80SF/APR 24W Daylight,8859926424238,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL30-4W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL30/APR 4W Warm White,8859926424122,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL40-8W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL40/APR 8W Warm White,8859926424047,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL50-12W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL50/APR 12W Warm White,8859926424061,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL60-16W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL60/APR 1 Warm White,8859926424085,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL70-20W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL70/APR  20W Warm White,8859926424108,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL60F-16W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL60F/APR 16W Warm White,8859926424139,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL80F-24W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL80F/APR 24W Warm White,8859926424153,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-ERDL40S-8W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น ERDL40S/APR 8W Warm White,8859926424177,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL60S-16W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL60S/APR 16W Warm White,8859926424207,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL60SF-16W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL60SF/APR 16W Warm White,8859926424221,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
001-EPDL80SF-24W-W,โคมไฟดาวน์ไลค์ แอลอีดี บี ไลท์ติ้งรุ่น EPDL80SF/APR 20W Warm White,8859926424245,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-4W-D,หลอด BULD LED 4 W Daylight,8859926424016,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-7W-D,หลอด BULD LED 7 W Daylight,8859926411023,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-3-9.5W-D,หลอด BULD LED 9.5 W Daylight,8859926411016,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-9-13W-D,หลอด BULD LED 13 W Daylight,8859926411054,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A70-9-16W-D,หลอด BULD LED 16 W Daylight,8859926411085,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A67-2-19W-D,หลอด BULD LED 19 W Daylight,8859926411108,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-4W-W,หลอด BULD LED 4 W Warm White,8859926424023,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-7W-W,หลอด BULD LED 7 W Warm White,8859926411047,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-3-9.5W-W,หลอด BULD LED 9.5 W Warm White,8859926411030,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-9-13W-W,หลอด BULD LED 13 W Warm White,8859926411078,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A70-9-16W-W,หลอด BULD LED 16 W Warm White,8859926411092,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A67-2-19W-W,หลอด BULD LED 19 W Warm White,8859926411115,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
003-T80-62C-18W-D,หลอด T BULBS LED 18W Daylight,8859926413010,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
003-T100-62C-28W-D,หลอด T BULBS LED 28W Daylight,8859926413034,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
003-T120-62C-38W-D,หลอด T BULBS LED 38W Daylight,8859926413058,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
003-T140-62C-48W-D,หลอด T BULBS LED 48W Daylight,8859926413072,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
003-T80-62C-18W-W,หลอด T BULBS LED 18W Warm White,8859926413027,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
003-T100-62C-28W-W,หลอด T BULBS LED 28W Warm White,8859926413041,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
003-T120-62C-38W-W,หลอด T BULBS LED 38W Warm White,8859926413065,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
003-T140-62C-48W-W,หลอด T BULBS LED 48W Warm White,8859926413089,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-4W-D-2F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 4 W Daylight    ( Set 2 Free 1),8859926480012,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-4W-D-3F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 4 W Daylight  (Set 3 Free 1),8859926480050,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-7W-D-2F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 7 W Daylight   ( Set 2 Free 1),8859926480036,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-7W-D-3F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 7 W Daylight ( Set 3 Free 1),8859926480074,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-3-9.5W-D-2F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 9.5 W Daylight (Set 2 Free 1),8859926480098,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-3-9.5W-D-3F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 9.5 W Daylight (Set 3 Free 1),8859926480111,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-4W-W-2F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 4 W Warm White   (Set 2 Free 1),8859926480029,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-4W-W-3F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 4 W Warm White ( Set 3 Free 1),8859926480067,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-7W-W-2F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 7 W Warm White (Set 2 Free 1),8859926480043,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-8-7W-W-3F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 7 W Warm White (Set 3 Free 1),8859926480081,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-3-9.5W-W-2F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 9.5 W Warm White  (Set 2 Free 1),8859926480104,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
002-A60-3-9.5W-W-3F1,หลอดไฟแอลอีดี บี ไลท์ติ้ง BULD LED 9.5 W Warm White  (Set 3 Free 1),8859926480128,ชิ้น,หลอดไฟฟ้า/หลอดไฟ/โคมไฟ,0
